0	106054
0	106055
1	106073
1	106074
2	106088
4	106099
5	106133
5	106134
5	106135
5	106136
8	106160
9	106172
11	106191
11	106192
12	106199
15	106229
15	106230
16	106239
17	106254
17	106255
18	106263
19	106269
20	106281
21	106293
22	106354
22	106355
22	106356
22	106357
22	106358
22	106359
22	106360
24	106378
25	106398
25	106399
30	106434
31	106446
31	106447
32	106470
32	106471
32	106472
34	106482
35	106490
36	106517
36	106518
36	106519
37	106531
38	106541
40	106571
40	106572
40	106573
41	106581
42	106600
42	106601
44	106611
45	106618
46	106626
48	106646
50	106655
53	106731
53	106732
53	106733
53	106734
53	106735
53	106736
53	106737
53	106738
55	106754
56	106772
56	106773
57	106777
58	106787
58	106788
60	106799
61	106807
63	106822
64	106835
64	106836
65	106851
66	106876
66	106877
66	106878
67	106883
68	106888
69	106892
71	106903
72	106910
73	106917
73	106918
74	106923
76	106940
77	106948
79	106966
81	106976
82	106989
82	106990
83	107000
85	107009
87	107065
87	107066
87	107067
87	107068
87	107069
87	107070
88	107082
89	107090
90	107104
91	107126
91	107127
94	107142
95	107151
95	107152
96	107156
97	107164
98	107170
99	107183
100	107187
101	107195
102	107223
102	107224
102	107225
102	107226
104	107242
106	107261
107	107292
107	107293
107	107294
107	107295
108	107307
109	107316
110	107333
110	107334
111	107349
112	107368
112	107369
113	107381
114	107395
115	107417
115	107418
115	107419
116	107439
116	107440
117	107457
118	107475
118	107476
119	107496
119	107497
120	107524
120	107525
120	107526
121	107537
122	107545
123	107572
123	107573
123	107574
125	107594
126	107605
127	107624
127	107625
129	107646
129	107647
131	107659
132	107665
134	107690
134	107691
134	107692
136	107706
137	107721
137	107722
138	107740
138	107741
139	107761
139	107762
139	107763
140	107793
140	107794
141	107834
141	107835
141	107836
141	107837
141	107838
142	107872
142	107873
142	107874
142	107875
144	107886
147	107897
148	107907
149	107916
150	107938
150	107939
151	107962
151	107963
152	107970
153	107982
155	108000
155	108001
156	108041
156	108042
156	108043
156	108044
157	108060
157	108061
161	108084
162	108093
163	108099
164	108103
165	108122
165	108123
166	108136
166	108137
167	108147
168	108169
168	108170
168	108171
169	108184
170	108195
171	108204
172	108210
173	108220
174	108227
176	108240
178	108250
179	108254
180	108259
181	108270
181	108271
182	108283
183	108289
184	108302
185	108307
186	108311
188	108324
191	108364
191	108365
191	108366
191	108367
191	108368
192	108390
192	108391
193	108401
193	108402
194	108410
195	108418
196	108425
197	108433
198	108450
198	108451
199	108477
199	108478
199	108479
201	108490
201	108491
202	108502
202	108503
203	108512
203	108513
204	108533
204	108534
204	108535
205	108540
206	108547
207	108561
208	108582
208	108583
208	108584
210	108598
212	108608
213	108613
214	108627
216	108641
217	108648
219	108661
220	108682
220	108683
221	108856
221	108857
221	108858
221	108859
221	108860
221	108861
221	108862
221	108863
221	108864
221	108865
221	108866
221	108867
221	108868
221	108869
221	108870
221	108871
221	108872
221	108873
221	108874
222	108906
222	108907
224	108922
225	108949
225	108950
225	108951
225	108952
226	108961
227	108971
228	108981
228	108982
229	108991
230	109000
231	109005
232	109018
232	109019
234	109031
235	109061
235	109062
235	109063
235	109064
236	109076
236	109077
238	109086
